   n, quick_cmp, quick_swaps, quick_time
 783,     13113,        2314,       7506
 784,     12698,        2298,       7506
 785,     12768,        2309,       7005
 786,     12637,        2343,       7506
 787,     12762,        2313,       7006
 788,     13167,        2333,       7507
 789,     12880,        2327,       7506
 790,     12915,        2349,       7005
 791,     13085,        2355,       7506
 792,     13086,        2339,       7506
 793,     13268,        2365,       7506
 794,     13386,        2359,       7006
 795,     13535,        2350,       7506
 796,     13140,        2346,       7006
 797,     12918,        2366,       7006
 798,     13314,        2399,       7506
 799,     12685,        2407,       7506
 800,     12777,        2401,       7506
 801,     12858,        2394,       7505
 802,     12979,        2417,       7506
 803,     12830,        2382,       7005
 804,     13242,        2352,       7505
 805,     12826,        2434,       7005
 806,     13480,        2356,       7506
 807,     13929,        2370,       7506
 808,     13547,        2387,       7506
 809,     13496,        2399,       7506
 810,     13425,        2358,       7506
 811,     13222,        2366,       7006
 812,     13014,        2438,       7006
 813,     14294,        2394,       7506
 814,     13718,        2422,       7507
 815,     13481,        2402,       7505
 816,     13216,        2416,       7507
 817,     13897,        2409,       7505
 818,     13434,        2426,       7506
 819,     13637,        2420,       7005
 820,     14460,        2435,       8007
 821,     13501,        2444,       7506
 822,     13486,        2453,       7006
 823,     13172,        2463,       7507
 824,     13748,        2436,       7506
 825,     13592,        2471,       7506
 826,     14015,        2489,       8507
 827,     13298,        2481,       9007
 828,     13587,        2484,       8007
 829,     14081,        2509,       8506
 830,     13834,        2492,       8006
 831,     13563,        2461,       7505
 832,     13437,        2457,       7505
 833,     14015,        2469,       8508
 834,     13739,        2519,       7505
 835,     13997,        2481,       8006
 836,     14459,        2491,       8007
 837,     13700,        2489,       8007
 838,     13780,        2509,       8006
 839,     13701,        2515,       8006
 840,     13926,        2530,       7506
 841,     13618,        2525,       7506
 842,     13665,        2559,       7506
 843,     14174,        2529,       8006
 844,     13900,        2514,       7506
 845,     13936,        2520,       7507
 846,     13969,        2526,       7506
 847,     14714,        2490,       8006
 848,     14083,        2525,       7506
 849,     14003,        2546,       7506
 850,     14641,        2550,       8007
 851,     14666,        2553,       8007
 852,     14297,        2519,       8006
 853,     13862,        2580,       7506
 854,     14127,        2576,       7506
 855,     14283,        2559,       8006
 856,     14383,        2579,       8006
 857,     14008,        2565,       8008
 858,     14947,        2573,       8005
 859,     13958,        2597,       8007
 860,     13888,        2607,       8005
 861,     13806,        2588,       7505
 862,     14413,        2569,       8005
 863,     13842,        2623,       8008
 864,     14570,        2602,       8505
 865,     14125,        2600,       7508
 866,     14618,        2564,       7505
 867,     14100,        2630,       7506
 868,     14321,        2599,       8005
 869,     14667,        2592,       8007
 870,     14392,        2667,       8006
 871,     14225,        2634,       8007
 872,     14753,        2623,       8006
 873,     14285,        2654,       7506
 874,     15381,        2607,       8007
 875,     14444,        2621,       8007
 876,     14503,        2621,       8006
 877,     15326,        2608,       8006
 878,     14640,        2655,       8007
 879,     14445,        2645,       8007
 880,     14757,        2661,       8007
 881,     14721,        2649,       8006
 882,     15076,        2679,       8006
 883,     15220,        2655,       8006
 884,     15254,        2681,       8508
 885,     14873,        2646,       8006
 886,     14443,        2685,       8006
 887,     14551,        2686,       8006
 888,     15414,        2665,       8506
 889,     15412,        2673,       8507
 890,     14943,        2700,       8006
 891,     15173,        2697,       8507
 892,     15267,        2687,       8007
 893,     15309,        2685,       8507
 894,     14709,        2734,       8006
 895,     15838,        2629,       8507
 896,     14458,        2698,       8507
 897,     14951,        2701,       8507
 898,     15450,        2693,       8507
 899,     14991,        2696,       8507
 900,     15706,        2670,       8507
 901,     15848,        2670,       8507
 902,     15517,        2654,       8507
 903,     14869,        2724,       8006
 904,     15366,        2687,       8507
 905,     14949,        2765,       8507
 906,     15164,        2742,       8006
 907,     14857,        2760,       8006
 908,     15147,        2778,       8008
 909,     14963,        2743,       8006
 910,     15409,        2732,       8007
 911,     15162,        2755,       8006
