   n, insertion_cmp, insertion_swaps, insertion_time
 777,          1162,             387,           1001
 778,          1163,             387,           1000
 779,          1164,             387,            500
 780,          1165,             387,            500
 781,          1166,             387,            500
 782,          1167,             387,            500
 783,          1168,             387,           1001
 784,          1169,             387,           1000
 785,          1170,             387,           1001
 786,          1171,             387,           1000
 787,          1172,             387,            500
 788,          1173,             387,            500
 789,          1175,             388,            500
 790,          1176,             388,           1001
 791,          1178,             389,           1000
 792,          1179,             389,           1000
 793,          1180,             389,           1001
 794,          1181,             389,            500
 795,          1182,             389,            500
 796,          1183,             389,            500
 797,          1184,             389,           1000
 798,          1185,             389,           1001
 799,          1186,             389,           1000
 800,          1188,             390,            499
 801,          1189,             390,            499
 802,          1190,             390,           1001
 803,          1191,             390,            999
 804,          1192,             390,           1001
 805,          1193,             390,            500
 806,          1194,             390,            500
 807,          1195,             390,           1001
 808,          1196,             390,           1000
 809,          1197,             390,           1000
 810,          1198,             390,            499
 811,          1200,             391,            500
 812,          1202,             392,           1000
 813,          1203,             392,            499
 814,          1204,             392,           1000
 815,          1206,             393,           1001
 816,          1208,             394,            500
 817,          1210,             395,            500
 818,          1215,             399,           1001
 819,          1216,             399,           1000
 820,          1217,             399,           1000
 821,          1218,             399,            499
 822,          1219,             399,            500
 823,          1220,             399,           1001
 824,          1221,             399,           1000
 825,          1222,             399,           1000
 826,          1223,             399,            501
 827,          1225,             400,           1000
 828,          1228,             402,           1001
 829,          1230,             403,           1001
 830,          1231,             403,            499
 831,          1232,             403,           1000
 832,          1233,             403,           1000
 833,          1234,             403,           1001
 834,          1235,             403,            500
 835,          1236,             403,           1000
 836,          1240,             406,           1000
 837,          1241,             406,           1000
 838,          1242,             406,            500
 839,          1243,             406,           1000
 840,          1244,             406,           1000
 841,          1245,             406,            500
 842,          1246,             406,            500
 843,          1247,             406,           1000
 844,          1248,             406,           1000
 845,          1249,             406,            499
 846,          1250,             406,           1000
 847,          1251,             406,           1001
 848,          1252,             406,           1000
 849,          1253,             406,            500
 850,          1255,             407,           1000
 851,          1256,             407,           1000
 852,          1257,             407,           1000
 853,          1259,             408,           1000
 854,          1260,             408,           1000
 855,          1261,             408,           1000
 856,          1262,             408,            500
 857,          1264,             409,           1001
 858,          1266,             410,           1000
 859,          1268,             411,            500
 860,          1270,             412,           1000
 861,          1271,             412,           1001
 862,          1272,             412,            500
 863,          1273,             412,           1000
 864,          1274,             412,           1001
 865,          1276,             413,           1000
 866,          1278,             414,            500
 867,          1282,             417,           1001
 868,          1283,             417,           1000
 869,          1284,             417,            500
 870,          1285,             417,           1001
 871,          1286,             417,           1000
 872,          1288,             418,            499
 873,          1289,             418,           1001
 874,          1290,             418,           1001
 875,          1291,             418,            500
 876,          1292,             418,           1000
 877,          1294,             419,           1000
 878,          1296,             420,            500
 879,          1297,             420,           1000
 880,          1298,             420,           1501
 881,          1300,             421,           1000
 882,          1301,             421,            500
 883,          1302,             421,           1001
 884,          1303,             421,           1001
 885,          1305,             422,           1000
 886,          1306,             422,           1000
 887,          1307,             422,           1000
 888,          1308,             422,            500
 889,          1309,             422,            999
 890,          1310,             422,           1000
 891,          1311,             422,           1001
 892,          1312,             422,           1000
 893,          1313,             422,            499
 894,          1315,             423,            999
 895,          1317,             424,           1000
 896,          1320,             426,           1001
 897,          1321,             426,           1000
 898,          1322,             426,            499
 899,          1324,             427,           1001
 900,          1325,             427,           1000
 901,          1326,             427,           1001
 902,          1327,             427,           1000
 903,          1329,             428,            500
 904,          1330,             428,           1001
 905,          1331,             428,            999
 906,          1332,             428,           1000
 907,          1333,             428,           1000
 908,          1334,             428,            500
 909,          1337,             430,           1001
 910,          1341,             433,            500
 911,          1342,             433,           1000
 912,          1343,             433,            500
 913,          1345,             434,           1000
 914,          1346,             434,           1001
 915,          1347,             434,           1001
 916,          1348,             434,           1000
 917,          1349,             434,           1001
 918,          1350,             434,           1001
 919,          1352,             435,           1000
 920,          1353,             435,           1000
 921,          1354,             435,            500
 922,          1356,             436,           1001
 923,          1357,             436,            500
 924,          1358,             436,           1000
 925,          1359,             436,            500
 926,          1361,             437,           1000
 927,          1362,             437,            499
 928,          1363,             437,           1000
 929,          1364,             437,           1001
 930,          1367,             439,           1000
 931,          1371,             442,            500
 932,          1372,             442,           1000
 933,          1373,             442,            500
 934,          1375,             443,           1001
 935,          1376,             443,            500
 936,          1377,             443,           1000
 937,          1378,             443,            500
 938,          1379,             443,           1000
 939,          1380,             443,            500
 940,          1382,             444,           1000
 941,          1385,             446,            500
 942,          1388,             448,           1001
 943,          1389,             448,            500
 944,          1390,             448,           1000
 945,          1392,             449,           1001
 946,          1393,             449,           1000
 947,          1394,             449,           1000
 948,          1396,             450,           1001
 949,          1398,             451,           1000
 950,          1399,             451,           1001
 951,          1400,             451,           1000
 952,          1401,             451,           1273
 953,          1402,             451,           1001
 954,          1403,             451,           1000
 955,          1404,             451,           1000
 956,          1406,             452,           1001
 957,          1407,             452,           1000
 958,          1409,             453,           1000
 959,          1410,             453,            500
 960,          1411,             453,           1000
 961,          1412,             453,           1000
 962,          1413,             453,           1000
 963,          1414,             453,           1000
 964,          1415,             453,           1001
 965,          1416,             453,           1000
 966,          1417,             453,           1000
 967,          1418,             453,           1000
 968,          1420,             454,           1001
 969,          1422,             455,           1000
 970,          1424,             456,           1001
 971,          1425,             456,            500
 972,          1426,             456,           1000
 973,          1428,             457,           1001
 974,          1429,             457,           1000
 975,          1431,             458,           1001
 976,          1432,             458,           1000
 977,          1433,             458,           1000
 978,          1434,             458,           1001
 979,          1436,             459,           1000
 980,          1437,             459,           1000
 981,          1441,             462,           1000
 982,          1442,             462,           1001
 983,          1443,             462,           1000
 984,          1444,             462,           1001
 985,          1446,             463,           1000
 986,          1447,             463,           1001
 987,          1448,             463,           1001
 988,          1449,             463,           1001
 989,          1450,             463,           1000
 990,          1451,             463,           1000
 991,          1452,             463,           1000
 992,          1453,             463,           1001
 993,          1455,             464,           1001
 994,          1456,             464,           1001
 995,          1457,             464,           1000
 996,          1458,             464,           1000
 997,          1459,             464,           1000
 998,          1460,             464,           1001
 999,          1463,             466,           1000
1000,          1465,             467,           1000
