   n, heap_cmp, heap_swaps, heap_time
 542,     8487,       4754,      5503
 543,     8506,       4763,      5504
 544,     8528,       4775,      5504
 545,     8543,       4779,      5504
 546,     8568,       4798,      5505
 547,     8579,       4802,      5504
 548,     8604,       4814,      5504
 549,     8624,       4824,      6005
 550,     8643,       4837,      5505
 551,     8662,       4848,      5504
 552,     8679,       4856,      5504
 553,     8701,       4869,      5504
 554,     8721,       4878,      5505
 555,     8739,       4886,      5505
 556,     8760,       4901,      6004
 557,     8783,       4909,      5504
 558,     8802,       4919,      5504
 559,     8825,       4934,      5504
 560,     8836,       4938,      5504
 561,     8857,       4947,      5504
 562,     8883,       4969,      6005
 563,     8903,       4985,      6005
 564,     8922,       4991,      6005
 565,     8939,       5000,      5504
 566,     8957,       5009,      5504
 567,     8979,       5021,      5504
 568,     8996,       5031,      6005
 569,     9016,       5035,      6005
 570,     9031,       5046,      6004
 571,     9053,       5061,      6005
 572,     9070,       5070,      5505
 573,     9089,       5081,      5504
 574,     9107,       5088,      6004
 575,     9136,       5105,      6005
 576,     9149,       5107,      6005
 577,     9181,       5125,      5503
 578,     9197,       5140,      6004
 579,     9214,       5145,      6006
 580,     9234,       5158,      5505
 581,     9250,       5166,      6005
 582,     9274,       5182,      6506
 583,     9291,       5184,      5801
 584,     9309,       5200,      6007
