    n, heap_cmp, heap_swaps, heap_time
 5441,   123234,      66605,     78567
 5442,   123263,      66620,     78567
 5443,   123288,      66630,     78067
 5444,   123309,      66645,     78568
 5445,   123332,      66662,     78066
 5446,   123355,      66672,     79567
 5447,   123386,      66678,     78067
 5448,   123410,      66700,     78067
 5449,   123442,      66713,     78067
 5450,   123473,      66736,     77066
 5451,   123492,      66741,     77566
 5452,   123518,      66757,     78067
 5453,   123552,      66782,     78067
 5454,   123573,      66785,     78068
 5455,   123596,      66796,     79567
 5456,   123609,      66797,     79068
 5457,   123642,      66808,     78567
 5458,   123666,      66834,     80068
 5459,   123694,      66846,     77566
 5460,   123717,      66869,     77566
 5461,   123739,      66876,     77566
 5462,   123779,      66896,     78068
 5463,   123802,      66917,     77565
 5464,   123818,      66904,     78567
 5465,   123847,      66930,     78567
 5466,   123876,      66949,     78066
 5467,   123901,      66953,     78567
 5468,   123928,      66975,     78066
 5469,   123953,      66987,     78566
 5470,   123982,      67008,     79067
 5471,   124008,      67025,     80069
 5472,   124026,      67026,     80570
 5473,   124043,      67037,     78567
 5474,   124074,      67060,     78066
 5475,   124109,      67070,     79067
 5476,   124130,      67092,     79067
 5477,   124165,      67110,     79068
 5478,   124197,      67123,     78067
 5479,   124207,      67130,     79067
 5480,   124230,      67140,     78567
 5481,   124265,      67157,     80569
 5482,   124277,      67163,     79068
 5483,   124312,      67177,     79568
 5484,   124339,      67200,     79568
 5485,   124359,      67215,     79067
 5486,   124387,      67235,     78567
 5487,   124412,      67243,     79068
 5488,   124437,      67246,     78068
 5489,   124463,      67259,     78067
 5490,   124485,      67280,     79567
 5491,   124506,      67281,     77566
 5492,   124542,      67303,     78567
 5493,   124560,      67312,     78568
 5494,   124597,      67336,     78567
 5495,   124619,      67340,     78566
 5496,   124634,      67349,     80068
 5497,   124669,      67373,     79568
 5498,   124687,      67386,     78067
 5499,   124719,      67407,     78067
 5500,   124747,      67420,     79068
 5501,   124779,      67434,     78066
 5502,   124789,      67440,     79068
 5503,   124807,      67444,     78568
 5504,   124839,      67459,     78567
 5505,   124868,      67472,     78567
 5506,   124896,      67490,     79067
 5507,   124930,      67511,     78567
 5508,   124943,      67518,     78567
 5509,   124964,      67521,     79068
 5510,   124992,      67545,     80569
 5511,   125028,      67561,     78567
 5512,   125048,      67576,     79568
 5513,   125073,      67580,     78567
 5514,   125095,      67603,     80068
 5515,   125123,      67616,     79067
 5516,   125147,      67617,     80068
 5517,   125180,      67638,     78066
 5518,   125199,      67653,     79067
 5519,   125240,      67685,     79568
 5520,   125249,      67685,     79068
 5521,   125275,      67688,     78568
 5522,   125295,      67708,     80569
 5523,   125333,      67724,     79567
 5524,   125353,      67740,     79068
 5525,   125376,      67747,     79067
 5526,   125406,      67767,     78566
 5527,   125439,      67783,     79068
 5528,   125460,      67798,     78568
 5529,   125485,      67807,     79068
 5530,   125512,      67816,     79067
 5531,   125536,      67824,     79067
 5532,   125562,      67842,     78567
 5533,   125593,      67861,     78567
 5534,   125613,      67870,     79067
 5535,   125640,      67879,     79068
 5536,   125660,      67890,     80068
 5537,   125692,      67905,     80069
 5538,   125717,      67928,     78567
 5539,   125742,      67931,     79067
 5540,   125769,      67956,     78567
 5541,   125794,      67962,     78567
 5542,   125812,      67971,     80068
 5543,   125841,      67994,     79068
 5544,   125870,      68008,     78568
 5545,   125896,      68029,     80069
 5546,   125921,      68035,     79568
 5547,   125938,      68046,     79568
 5548,   125964,      68055,     79067
 5549,   125990,      68068,     80068
 5550,   126022,      68085,     79567
 5551,   126043,      68094,     79067
 5552,   126080,      68118,     80069
 5553,   126093,      68116,     80569
 5554,   126129,      68150,     79068
 5555,   126156,      68154,     79568
 5556,   126173,      68163,     79067
 5557,   126201,      68182,     80068
 5558,   126224,      68190,     79068
 5559,   126260,      68208,     79567
 5560,   126278,      68225,     79568
 5561,   126305,      68235,     80069
 5562,   126328,      68257,     80068
 5563,   126356,      68267,     79569
 5564,   126378,      68279,     79567
 5565,   126405,      68288,     79068
 5566,   126433,      68303,     79068
 5567,   126455,      68319,     79568
 5568,   126482,      68343,     80569
 5569,   126498,      68332,     79067
 5570,   126535,      68361,     79569
 5571,   126567,      68380,     79568
 5572,   126584,      68389,     80569
 5573,   126616,      68407,     80068
 5574,   126628,      68420,     80069
 5575,   126656,      68423,     79067
 5576,   126681,      68435,     80068
 5577,   126715,      68462,     79068
 5578,   126739,      68472,     79568
 5579,   126753,      68469,     82070
 5580,   126792,      68502,     79568
 5581,   126812,      68505,     80068
 5582,   126843,      68528,     80569
 5583,   126862,      68536,     79568
 5584,   126892,      68550,     79567
 5585,   126928,      68588,     79569
 5586,   126951,      68603,     81569
 5587,   126968,      68594,     80068
 5588,   126996,      68613,     81570
 5589,   127023,      68623,     80069
 5590,   127045,      68634,     81070
