    n, heap_cmp, heap_swaps, heap_time
 1095,    18734,      10098,     12011
 1096,    18759,      10117,     12010
 1097,    18783,      10130,     12010
 1098,    18819,      10159,     12010
 1099,    18799,      10103,     12010
 1100,    18879,      10180,     12010
 1101,    18875,      10175,     11510
 1102,    18889,      10187,     12509
 1103,    18899,      10186,     11509
 1104,    18950,      10196,     12510
 1105,    18969,      10212,     12011
 1106,    18972,      10221,     12010
 1107,    19005,      10254,     12511
 1108,    19035,      10263,     12509
 1109,    19067,      10270,     12511
 1110,    19068,      10277,     12010
 1111,    19081,      10283,     12010
 1112,    19104,      10288,     12011
 1113,    19086,      10282,     12009
 1114,    19121,      10303,     12010
 1115,    19141,      10332,     12511
 1116,    19135,      10313,     12510
 1117,    19178,      10326,     12009
 1118,    19208,      10367,     12010
 1119,    19242,      10399,     12511
 1120,    19247,      10361,     12010
 1121,    19291,      10390,     12510
 1122,    19284,      10381,     12010
 1123,    19291,      10407,     12510
 1124,    19317,      10405,     12010
 1125,    19300,      10394,     12510
 1126,    19385,      10446,     15513
 1127,    19378,      10456,     12010
 1128,    19412,      10463,     12510
 1129,    19405,      10446,     12510
 1130,    19434,      10479,     12510
 1131,    19472,      10502,     12511
 1132,    19508,      10524,     12010
 1133,    19510,      10502,     12009
 1134,    19529,      10532,     12511
 1135,    19553,      10539,     12510
 1136,    19541,      10543,     12509
 1137,    19571,      10547,     12510
 1138,    19596,      10558,     12009
 1139,    19623,      10560,     12511
 1140,    19596,      10557,     12511
 1141,    19640,      10569,     12510
 1142,    19693,      10618,     12511
 1143,    19718,      10621,     12509
 1144,    19729,      10643,     12510
 1145,    19726,      10644,     12510
 1146,    19744,      10634,     12510
 1147,    19784,      10678,     13012
 1148,    19762,      10631,     12510
 1149,    19795,      10664,     13011
 1150,    19868,      10701,     13010
 1151,    19857,      10705,     12511
 1152,    19907,      10722,     12510
 1153,    19898,      10722,     12510
 1154,    19903,      10708,     12510
 1155,    19960,      10774,     12511
 1156,    19983,      10765,     13010
 1157,    19973,      10736,     12010
 1158,    20021,      10792,     13010
 1159,    20039,      10794,     12510
 1160,    20012,      10771,     13011
 1161,    20060,      10814,     13010
 1162,    20122,      10837,     13010
 1163,    20091,      10835,     13010
 1164,    20109,      10827,     13010
 1165,    20127,      10854,     13010
 1166,    20181,      10878,     13010
