   n, insertion_cmp, insertion_swaps, insertion_time
 586,         85383,           84804,          86574
 587,         85563,           84983,          85573
 588,         85869,           85288,          86574
 589,         85964,           85382,          87576
 590,         86545,           85962,          89075
 591,         86889,           86305,          87575
 592,         87434,           86849,          88576
 593,         88020,           87434,          88575
 594,         88607,           88020,          90077
 595,         88848,           88260,          88575
 596,         89092,           88503,          90077
 597,         89542,           88952,          90077
 598,         89606,           89015,          91578
 599,         90146,           89554,          92079
 600,         90335,           89742,          90578
 601,         90453,           89859,          92079
 602,         91004,           90409,          91578
 603,         91169,           90573,          94080
 604,         91532,           90935,          91578
 605,         91625,           91027,          93580
 606,         91984,           91385,          92579
 607,         92069,           91469,          92078
 608,         92359,           91758,          95081
 609,         92845,           92243,          94581
 610,         93129,           92526,          94081
 611,         93522,           92918,          95581
 612,         93986,           93381,          94581
 613,         94534,           93928,          97083
 614,         94804,           94197,          95581
 615,         95077,           94469,          95081
 616,         95460,           94851,          96082
 617,         96021,           95411,          99085
 618,         96432,           95821,          96582
 619,         96635,           96023,          99585
 620,         96646,           96033,          99585
