    n, quick_cmp, quick_swaps, quick_time
  456,      6519,        1307,       3503
  457,      6706,        1286,       3503
  458,      7242,        1258,       4003
  459,      7128,        1263,       4003
  460,      6998,        1303,       4003
  461,      6752,        1309,       4003
  462,      6645,        1306,       3503
  463,      7164,        1287,       3502
  464,      6878,        1290,       3502
  465,      6820,        1319,       4002
  466,      6685,        1332,       4004
  467,      6942,        1339,       4002
  468,      7216,        1332,       4003
  469,      6952,        1321,       4003
  470,      6859,        1318,       4003
  471,      7174,        1322,       4004
  472,      6889,        1339,       3503
  473,      7184,        1323,       4003
  474,      6990,        1335,       4003
  475,      7129,        1364,       3502
  476,      7252,        1321,       4003
  477,      7303,        1350,       4003
  478,      7115,        1350,       4003
  479,      7125,        1365,       3503
  480,      7733,        1344,       4003
  481,      7117,        1382,       4003
  482,      7206,        1392,       4503
  483,      7211,        1377,       4003
  484,      7273,        1369,       4003
  485,      7232,        1379,       4003
  486,      7476,        1395,       4504
  487,      7506,        1397,       4002
  488,      7450,        1413,       4003
  489,      7438,        1391,       4003
  490,      7680,        1385,       4503
  491,      7565,        1399,       4003
  492,      7739,        1384,       4003
  493,      7535,        1388,       4003
  494,      7607,        1409,       4002
  495,      7434,        1407,       4004
  496,      7449,        1429,       4003
  497,      7331,        1428,       4003
  498,      7207,        1409,       4505
  499,      7322,        1411,       4002
  500,      7678,        1425,       4503
  501,      7609,        1428,       4004
  502,      7365,        1448,       4004
  503,      7636,        1459,       4503
  504,      8335,        1429,       4503
  505,      7804,        1439,       4003
  506,      7678,        1465,       4003
  507,      7697,        1472,       4003
  508,      7835,        1451,       4003
  509,      7502,        1429,       4003
  510,      7796,        1465,       4003
  511,      7835,        1453,       4002
  512,      7682,        1444,       4504
  513,      7686,        1460,       4003
  514,      7766,        1475,       4503
  515,      7946,        1482,       4503
  516,      7584,        1476,       4504
  517,      8193,        1455,       4503
  518,      7583,        1490,       4503
  519,      7718,        1500,       4003
  520,      7750,        1519,       4003
  521,      7863,        1501,       4003
  522,      8032,        1513,       4003
  523,      7991,        1513,       4003
  524,      8015,        1493,       4503
  525,      8110,        1497,       4503
  526,      7873,        1512,       4504
  527,      7964,        1538,       4503
  528,      8455,        1497,       4504
  529,      8205,        1525,       4504
  530,      7983,        1539,       4503
  531,      8275,        1523,       4503
  532,      8152,        1531,       4503
  533,      8201,        1551,       4003
  534,      8210,        1522,       4504
  535,      8282,        1566,       4503
  536,      8295,        1546,       4504
  537,      8187,        1540,       4503
  538,      8115,        1571,       4504
  539,      8487,        1531,       4503
  540,      8004,        1539,       4003
  541,      8331,        1554,       4003
  542,      8214,        1547,       4003
  543,      8342,        1560,       4503
  544,      8131,        1586,       4504
  545,      8167,        1571,       4503
  546,      8132,        1591,       4504
  547,      8272,        1595,       4503
  548,      8057,        1594,       4503
  549,      8577,        1573,       5004
  550,      8466,        1596,       4503
  551,      8374,        1576,       4504
