   n, heap_cmp, heap_swaps, heap_time
 685,    10798,       5848,      7005
 686,    10802,       5841,      7006
 687,    10824,       5869,      7006
 688,    10856,       5871,      7006
 689,    10884,       5904,      6505
 690,    10880,       5882,      7007
 691,    10908,       5900,      7005
 692,    10946,       5929,      7006
 693,    10956,       5924,      7005
 694,    10981,       5936,      7005
 695,    11018,       5975,      7006
 696,    11013,       5973,      7006
 697,    11006,       5930,      7005
 698,    11036,       5969,      7005
 699,    11073,       6004,      7006
 700,    11098,       6004,      7005
 701,    11103,       6023,      7005
 702,    11106,       6005,      7005
 703,    11125,       6010,      7506
 704,    11164,       6043,      7506
 705,    11163,       6041,      7506
 706,    11162,       6027,      7006
 707,    11203,       6055,      7006
 708,    11217,       6076,      7006
 709,    11220,       6073,      7006
 710,    11249,       6082,      7005
 711,    11270,       6092,      7005
 712,    11284,       6088,      7506
 713,    11320,       6113,      7506
 714,    11357,       6152,      7506
 715,    11370,       6165,      7006
 716,    11402,       6183,      7506
 717,    11411,       6179,      7506
 718,    11437,       6204,      7506
 719,    11448,       6203,      7005
 720,    11470,       6207,      7005
 721,    11483,       6216,      7506
 722,    11504,       6229,      7506
 723,    11520,       6252,      7506
 724,    11542,       6254,      7006
 725,    11555,       6247,      7506
 726,    11573,       6270,      7506
 727,    11608,       6284,      7507
 728,    11621,       6282,      7505
 729,    11648,       6296,      7006
 730,    11640,       6306,      7506
 731,    11662,       6308,      7506
 732,    11688,       6321,      7506
 733,    11704,       6320,      7006
 734,    11772,       6406,      7507
 735,    11761,       6354,      7506
 736,    11781,       6384,      8007
 737,    11804,       6388,      7505
 738,    11837,       6400,      7506
 739,    11829,       6402,      7506
 740,    11850,       6388,      7506
 741,    11887,       6440,      8007
 742,    11885,       6431,      8006
 743,    11902,       6439,      7506
 744,    11929,       6463,      7507
 745,    11956,       6466,      7506
 746,    11979,       6489,      7506
 747,    11985,       6489,      7506
 748,    11989,       6488,      7506
 749,    12055,       6522,      8007
 750,    12054,       6515,      7506
 751,    12074,       6537,      8007
 752,    12104,       6559,      8006
 753,    12102,       6556,      8007
 754,    12150,       6575,      8006
 755,    12154,       6572,      8007
 756,    12157,       6593,      7506
 757,    12177,       6604,      8007
 758,    12175,       6592,      8006
 759,    12216,       6612,      7506
 760,    12231,       6616,      8007
 761,    12258,       6633,      8006
 762,    12262,       6631,      8007
 763,    12315,       6660,      8006
 764,    12309,       6651,      8007
 765,    12336,       6669,      8006
 766,    12354,       6678,      8007
 767,    12358,       6691,      7506
 768,    12378,       6692,      8007
 769,    12403,       6711,      8006
 770,    12414,       6717,      8008
 771,    12427,       6725,      8006
 772,    12459,       6747,      8007
 773,    12482,       6736,      8007
 774,    12497,       6770,      7506
 775,    12527,       6782,      8007
 776,    12530,       6788,      8006
 777,    12550,       6792,      7506
 778,    12558,       6805,      8007
 779,    12598,       6819,      8506
 780,    12609,       6814,      8007
 781,    12613,       6823,      8007
 782,    12630,       6836,      8007
 783,    12648,       6833,      8508
 784,    12666,       6838,      8506
 785,    12680,       6836,      9509
 786,    12702,       6871,      8006
 787,    12740,       6891,      8506
 788,    12772,       6903,      8507
 789,    12780,       6920,      8507
 790,    12805,       6935,      8006
 791,    12818,       6934,      8007
 792,    12835,       6955,      8507
 793,    12855,       6952,      8507
 794,    12882,       6958,      8007
 795,    12892,       6967,      8006
 796,    12925,       6987,      8507
 797,    12950,       7002,      8507
 798,    12954,       7002,      8006
 799,    12985,       7041,      8507
 800,    12998,       7029,      8007
 801,    13016,       7022,      9007
 802,    13024,       7055,      8507
 803,    13045,       7036,      8507
 804,    13063,       7049,      8507
 805,    13079,       7063,      8007
 806,    13135,       7119,      8507
 807,    13132,       7116,      8006
 808,    13143,       7086,      8507
 809,    13163,       7124,      8507
 810,    13173,       7126,      8507
 811,    13175,       7123,      8507
 812,    13225,       7142,      8007
 813,    13252,       7147,      8507
 814,    13241,       7150,      8507
 815,    13276,       7190,      8507
 816,    13317,       7186,      9006
 817,    13332,       7209,      8507
 818,    13350,       7227,      8507
 819,    13368,       7215,      8507
 820,    13401,       7241,      9007
 821,    13413,       7257,      8507
 822,    13454,       7275,      8507
 823,    13447,       7260,      8507
 824,    13478,       7290,      8507
 825,    13459,       7272,      9006
 826,    13482,       7278,      9007
 827,    13515,       7322,      9007
 828,    13535,       7311,      9007
 829,    13571,       7337,      9007
 830,    13597,       7353,      9007
 831,    13565,       7320,      8507
 832,    13618,       7371,      8506
 833,    13636,       7378,      9007
 834,    13644,       7375,      8507
 835,    13690,       7416,      8506
 836,    13688,       7383,      9007
 837,    13705,       7409,      9009
 838,    13713,       7408,      9008
 839,    13735,       7419,      9008
 840,    13746,       7439,      8507
 841,    13826,       7474,      9007
 842,    13825,       7468,      8506
 843,    13835,       7469,      9007
 844,    13846,       7482,      8507
 845,    13836,       7481,      9007
 846,    13876,       7495,      9007
 847,    13922,       7534,      9008
 848,    13929,       7537,      9007
 849,    13934,       7527,      9007
 850,    13950,       7532,      9007
 851,    13973,       7548,      9007
 852,    13973,       7554,      9007
 853,    14017,       7574,      9007
 854,    14038,       7583,      8507
 855,    14068,       7603,      9007
 856,    14076,       7600,      9008
 857,    14072,       7590,      9007
 858,    14105,       7619,      9007
 859,    14125,       7623,      9007
 860,    14121,       7618,      9007
 861,    14152,       7629,      9007
 862,    14175,       7655,      9007
 863,    14206,       7679,      8507
 864,    14220,       7696,      9007
 865,    14232,       7671,      9007
 866,    14239,       7689,      9508
 867,    14276,       7704,      9508
 868,    14278,       7696,      9507
 869,    14311,       7720,      9508
 870,    14341,       7747,      9007
 871,    14326,       7714,      9007
 872,    14379,       7763,      9007
 873,    14353,       7744,      9007
 874,    14403,       7772,      9508
 875,    14426,       7777,      9508
 876,    14427,       7785,      9507
 877,    14475,       7822,      9007
 878,    14464,       7800,      9007
 879,    14489,       7811,      9507
 880,    14516,       7817,      9508
 881,    14533,       7825,      9007
 882,    14562,       7855,      9007
 883,    14584,       7865,      9508
 884,    14598,       7874,      9508
 885,    14613,       7871,      9508
 886,    14628,       7892,      9507
 887,    14659,       7914,      9508
 888,    14672,       7907,      9007
 889,    14706,       7922,      9508
 890,    14734,       7947,      9508
 891,    14727,       7941,      9508
 892,    14751,       7954,      9008
 893,    14765,       7958,      9508
 894,    14773,       7963,      9508
 895,    14802,       7993,      9507
 896,    14814,       7993,      9507
 897,    14812,       7982,      9007
 898,    14868,       8024,      9508
 899,    14895,       8035,      9508
 900,    14899,       8017,      9508
 901,    14912,       8034,      9507
 902,    14932,       8060,      9507
 903,    14953,       8056,      9507
 904,    14965,       8064,      9508
 905,    15004,       8104,     10008
 906,    15036,       8115,     10008
 907,    15049,       8129,     10008
 908,    15085,       8144,     10008
 909,    15039,       8115,      9508
 910,    15089,       8130,      9508
 911,    15136,       8143,      9507
 912,    15127,       8163,      9508
 913,    15153,       8167,      9508
 914,    15173,       8187,      9508
 915,    15215,       8212,      9508
 916,    15248,       8242,      9507
 917,    15264,       8240,     10008
 918,    15266,       8241,     10008
 919,    15284,       8240,     10008
 920,    15314,       8248,     10008
 921,    15323,       8263,      9507
 922,    15360,       8287,     10009
 923,    15370,       8282,     10008
 924,    15380,       8298,      9508
 925,    15407,       8278,     10008
 926,    15405,       8307,     10009
 927,    15444,       8332,      9508
 928,    15462,       8331,     10008
 929,    15491,       8349,     10008
 930,    15504,       8371,     10008
 931,    15555,       8379,     10008
 932,    15547,       8370,     10008
 933,    15558,       8388,     10007
 934,    15572,       8400,     10008
 935,    15597,       8378,      9508
 936,    15634,       8433,     10008
 937,    15648,       8444,     10008
 938,    15656,       8434,     10009
 939,    15671,       8459,     10008
 940,    15718,       8479,     10008
 941,    15714,       8470,     10508
 942,    15742,       8475,     10008
 943,    15736,       8481,     10008
 944,    15772,       8521,     10008
 945,    15779,       8493,     10008
 946,    15823,       8534,     10508
 947,    15840,       8548,     10509
 948,    15853,       8541,     10008
 949,    15884,       8558,     10009
 950,    15901,       8576,     10008
 951,    15918,       8601,     10508
 952,    15941,       8607,     10508
 953,    15984,       8615,     10008
 954,    15960,       8595,     10008
 955,    15974,       8608,     10509
 956,    16002,       8630,     10008
 957,    16028,       8644,     10008
 958,    16036,       8644,     10508
 959,    16075,       8667,     10509
 960,    16104,       8679,     10009
 961,    16092,       8671,     10008
 962,    16135,       8692,     10509
 963,    16126,       8706,     10509
 964,    16158,       8725,     10009
 965,    16208,       8738,     10509
 966,    16213,       8750,     10008
 967,    16242,       8742,     10508
 968,    16277,       8779,     11010
 969,    16268,       8760,     10508
 970,    16271,       8753,     10508
 971,    16299,       8761,     11009
 972,    16337,       8816,     11009
 973,    16351,       8803,     10509
 974,    16364,       8816,     10509
 975,    16373,       8821,     10509
 976,    16408,       8824,     11008
 977,    16414,       8831,     10509
 978,    16476,       8865,     10508
 979,    16451,       8850,     10509
 980,    16477,       8888,     10509
 981,    16491,       8881,     10508
 982,    16510,       8894,     10509
 983,    16528,       8909,     10509
 984,    16534,       8896,     10508
 985,    16570,       8906,     11009
 986,    16593,       8911,     10509
 987,    16601,       8931,     10508
 988,    16639,       8949,     10509
 989,    16656,       8955,     11009
 990,    16663,       8956,     11009
 991,    16695,       8996,     10509
 992,    16728,       9009,     10510
 993,    16710,       8999,     11009
 994,    16747,       9022,     11009
 995,    16744,       9001,     10509
 996,    16789,       9032,     10509
 997,    16813,       9058,     10508
 998,    16835,       9076,     11008
 999,    16855,       9065,     11009
1000,    16869,       9081,     10509
