   n, bubble_cmp, bubble_swaps, bubble_time
 499,     123753,          238,       56048
 500,     124251,          239,       57549
 501,     124750,          241,       55547
 502,     125250,          243,       57550
 503,     125751,          243,       58549
 504,     126253,          243,       57049
 505,     126756,          243,       56548
 506,     127260,          243,       57049
 507,     127765,          244,       58550
 508,     128271,          246,       59050
 509,     128778,          246,       58049
 510,     129286,          246,       58050
 511,     129795,          246,       60051
 512,     130305,          246,       59551
 513,     130816,          246,       59551
 514,     131328,          247,       59551
 515,     131841,          248,       60051
 516,     132355,          251,       61552
 517,     132870,          251,       60051
 518,     133386,          251,       61052
 519,     133903,          251,       59551
 520,     134421,          253,       61052
 521,     134940,          253,       61053
 522,     135460,          253,       61052
 523,     135981,          253,       61552
 524,     136503,          254,       62554
 525,     137026,          256,       63554
 526,     137550,          259,       62053
 527,     138075,          259,       62053
 528,     138601,          259,       62554
 529,     139128,          259,       62553
 530,     139656,          259,       64054
 531,     140185,          260,       63554
 532,     140715,          260,       63554
 533,     141246,          260,       63053
 534,     141778,          260,       64055
 535,     142311,          260,       63554
 536,     142845,          260,       63554
 537,     143380,          261,       65055
 538,     143916,          263,       64555
 539,     144453,          263,       65556
 540,     144991,          263,       65556
 541,     145530,          263,       65556
 542,     146070,          263,       66056
 543,     146611,          263,       68559
 544,     147153,          263,       67057
 545,     147696,          263,       66556
 546,     148240,          263,       67057
 547,     148785,          263,       67057
 548,     149331,          264,       67058
 549,     149878,          266,       67057
 550,     150426,          269,       68058
 551,     150975,          273,       68058
 552,     151525,          273,       69560
 553,     152076,          273,       68059
 554,     152628,          273,       70060
 555,     153181,          273,       71059
 556,     153735,          274,       69059
 557,     154290,          274,       71060
 558,     154846,          274,       69059
 559,     155403,          277,       69559
 560,     155961,          277,       69559
 561,     156520,          277,       70560
 562,     157080,          277,       70060
 563,     157641,          277,       73062
 564,     158203,          277,       72562
 565,     158766,          277,       71060
 566,     159330,          277,       71561
 567,     159895,          277,       71061
 568,     160461,          277,       72062
 569,     161028,          277,       72062
 570,     161596,          278,       73563
 571,     162165,          278,       73563
 572,     162735,          278,       74564
 573,     163306,          278,       74063
 574,     163878,          278,       74063
 575,     164451,          278,       74063
 576,     165025,          278,       74063
 577,     165600,          279,       74563
 578,     166176,          280,       74063
 579,     166753,          282,       74563
 580,     167331,          282,       75565
 581,     167910,          282,       75064
 582,     168490,          282,       76065
 583,     169071,          283,       75564
 584,     169653,          283,       78067
 585,     170236,          283,       77066
 586,     170820,          283,       76565
 587,     171405,          285,       79068
 588,     171991,          285,       77566
 589,     172578,          285,       78567
 590,     173166,          285,       78067
 591,     173755,          287,       78066
 592,     174345,          287,       82070
 593,     174936,          287,       79568
 594,     175528,          287,       78566
 595,     176121,          288,       80069
 596,     176715,          289,       79568
 597,     177310,          289,       79568
 598,     177906,          289,       79568
 599,     178503,          289,       80069
 600,     179101,          289,       80569
 601,     179700,          289,       81069
 602,     180300,          289,       80569
 603,     180901,          290,       81069
 604,     181503,          291,       82070
 605,     182106,          294,       82571
 606,     182710,          294,       82070
 607,     183315,          294,       83071
 608,     183921,          294,       83571
 609,     184528,          294,       82070
 610,     185136,          295,       84571
 611,     185745,          295,       84572
 612,     186355,          295,       86074
 613,     186966,          296,       86073
 614,     187578,          296,       84573
 615,     188191,          296,       85073
 616,     188805,          296,       85072
 617,     189420,          296,       87074
 618,     190036,          297,       85573
 619,     190653,          297,       87074
 620,     191271,          297,       86073
 621,     191890,          297,       86574
 622,     192510,          298,       87074
 623,     193131,          298,       88575
 624,     193753,          298,       87074
 625,     194376,          299,       87574
 626,     195000,          299,       88075
 627,     195625,          301,       87575
 628,     196251,          304,       89076
 629,     196878,          304,       88576
 630,     197506,          304,       88076
 631,     198135,          305,       89576
 632,     198765,          305,       89076
 633,     199396,          306,       90077
 634,     200028,          306,       90077
 635,     200661,          306,       91578
 636,     201295,          307,       92579
 637,     201930,          307,       91078
 638,     202566,          310,       91578
 639,     203203,          312,       91078
 640,     203841,          312,       92079
 641,     204480,          312,       92079
 642,     205120,          312,       92579
 643,     205761,          313,       92579
 644,     206403,          313,       92579
 645,     207046,          313,       92579
 646,     207690,          313,       94081
 647,     208335,          314,       95081
 648,     208981,          314,       96582
 649,     209628,          316,       94081
 650,     210276,          320,       95081
 651,     210925,          320,       95082
 652,     211575,          320,       95081
 653,     212226,          321,       95582
 654,     212878,          321,       95582
 655,     213531,          321,       96082
 656,     214185,          322,       97083
 657,     214840,          322,       97083
 658,     215496,          322,       97583
 659,     216153,          323,       96582
